CustomerID,CustomerName,TransferDate,ReceiverName,isNFCused,TransferAmount
1,elif dilara akkus,2021-04-05 22:08:58,mert yilmaz,True,14130
1,elif dilara akkus,2020-07-02 07:17:20,mert yilmaz,True,9571
1,elif dilara akkus,2022-09-03 14:15:00,mert yilmaz,False,18367
1,elif dilara akkus,2021-08-14 09:19:12,mert yilmaz,True,8894
1,elif dilara akkus,2022-09-03 01:42:30,mert yilmaz,True,8553
1,elif dilara akkus,2021-09-02 01:52:34,mert yilmaz,True,7777
1,elif dilara akkus,2020-09-14 05:17:41,fatih varol,False,15122
1,elif dilara akkus,2022-10-06 18:56:18,murat celik,True,9420
1,elif dilara akkus,2021-10-01 21:51:13,murat celik,True,18593
1,elif dilara akkus,2021-11-27 03:37:09,fatih varol,True,3794
1,elif dilara akkus,2021-11-02 07:15:03,mert yilmaz,False,2209
1,elif dilara akkus,2021-11-16 13:50:02,mert yilmaz,True,2273
1,elif dilara akkus,2020-06-18 12:07:33,murat celik,False,7296
1,elif dilara akkus,2021-05-18 21:46:16,murat celik,False,3795
1,elif dilara akkus,2020-07-24 04:15:49,mert yilmaz,True,10802
1,elif dilara akkus,2020-08-03 01:33:02,fatih varol,False,12442
1,elif dilara akkus,2021-01-30 00:28:38,fatih varol,True,5810
1,elif dilara akkus,2022-09-11 12:55:41,murat celik,True,1638
1,elif dilara akkus,2022-08-30 12:26:14,mert yilmaz,False,12554
1,elif dilara akkus,2022-01-29 03:19:56,mert yilmaz,True,3373
1,elif dilara akkus,2021-03-28 20:51:03,murat celik,True,3014
1,elif dilara akkus,2022-09-10 18:19:14,mert yilmaz,True,9251
1,elif dilara akkus,2021-05-05 14:19:45,murat celik,False,721
1,elif dilara akkus,2020-11-03 08:44:58,mert yilmaz,True,8002
1,elif dilara akkus,2021-06-10 20:08:15,fatih varol,False,8210
1,elif dilara akkus,2021-09-15 21:21:18,mert yilmaz,True,5528
1,elif dilara akkus,2020-08-22 06:44:16,fatih varol,False,6694
1,elif dilara akkus,2022-12-30 12:02:18,mert yilmaz,False,12053
1,elif dilara akkus,2020-12-06 18:50:42,fatih varol,True,4078
1,elif dilara akkus,2022-08-05 04:29:57,fatih varol,True,17999
1,elif dilara akkus,2020-09-13 11:46:56,mert yilmaz,True,19934
1,elif dilara akkus,2021-02-22 09:57:17,murat celik,False,16085
1,elif dilara akkus,2020-05-09 16:27:37,mert yilmaz,True,11165
1,elif dilara akkus,2020-06-06 23:17:48,fatih varol,True,10195
1,elif dilara akkus,2021-02-17 19:46:38,murat celik,True,5579
1,elif dilara akkus,2020-09-30 23:28:19,fatih varol,True,19019
1,elif dilara akkus,2021-03-17 10:27:18,mert yilmaz,True,4059
1,elif dilara akkus,2022-12-07 01:01:17,mert yilmaz,True,4088
1,elif dilara akkus,2022-01-13 05:43:01,mert yilmaz,True,13777
1,elif dilara akkus,2021-06-30 08:16:07,murat celik,True,14036
1,elif dilara akkus,2020-07-06 21:01:15,fatih varol,True,11981
1,elif dilara akkus,2022-09-26 14:45:44,fatih varol,True,147
1,elif dilara akkus,2020-09-02 08:20:49,mert yilmaz,True,3369
1,elif dilara akkus,2021-07-05 15:51:15,fatih varol,False,10601
1,elif dilara akkus,2021-11-15 21:22:11,mert yilmaz,False,14824
1,elif dilara akkus,2021-03-18 19:52:07,mert yilmaz,True,10627
1,elif dilara akkus,2021-03-22 14:53:02,mert yilmaz,True,7869
1,elif dilara akkus,2022-08-08 00:00:17,murat celik,True,5468
1,elif dilara akkus,2022-06-06 07:25:48,murat celik,True,9835
1,elif dilara akkus,2021-02-07 11:00:46,mert yilmaz,True,3272
1,elif dilara akkus,2021-12-15 02:03:05,mert yilmaz,False,2132
1,elif dilara akkus,2020-06-02 10:59:35,fatih varol,True,6272
1,elif dilara akkus,2021-10-07 19:52:10,mert yilmaz,True,5428
